ANO,MES,NCM,KG,oc,date
2013,5,31054000-0,120662874.0,1,1367366400000000000
2013,5,31055900-0,9764627.00000002,1,1367366400000000000
2013,5,31059090-0,7241058.000000056,1,1367366400000000000
2013,11,31021010-0,9887785.000000007,1,1383264000000000000
2013,11,31022100-0,4066170.0000000056,1,1383264000000000000
2013,11,31042090-0,77397765.99999997,1,1383264000000000000
2013,11,31054000-0,46806607.000000015,1,1383264000000000000
2013,11,31055900-0,7221000.000000012,1,1383264000000000000
2013,11,31059090-0,3001700.0000000065,1,1383264000000000000
2014,5,31021010-0,35123822.00000001,1,1398902400000000000
2014,5,31022100-0,28244396.00000001,1,1398902400000000000
2014,5,31042090-0,337031629.99999976,1,1398902400000000000
2014,5,31054000-0,158732746.0,1,1398902400000000000
2014,5,31055900-0,29318491.00000004,1,1398902400000000000
2014,5,31059090-0,6613892.000000046,1,1398902400000000000
2014,11,31021010-0,13272915.000000035,1,1414800000000000000
2014,11,31022100-0,13230969.000000004,1,1414800000000000000
2014,11,31042090-0,84599702.99999994,1,1414800000000000000
2014,11,31054000-0,32500921.000000045,1,1414800000000000000
2014,11,31055900-0,7700449.000000011,1,1414800000000000000
2014,11,31059090-0,2813719.00000003,1,1414800000000000000
2015,5,31021010-0,9708751.00000002,1,1430438400000000000
2015,5,31022100-0,28376574.000000004,1,1430438400000000000
2015,5,31042090-0,263359473.99999985,1,1430438400000000000
2015,5,31054000-0,119999467.00000007,1,1430438400000000000
2015,5,31055900-0,29452095.000000022,1,1430438400000000000
2015,5,31059090-0,6150411.000000002,1,1430438400000000000
2015,11,31021010-0,0.0,0,1446336000000000000
2015,11,31022100-0,1525000.0000000093,1,1446336000000000000
2015,11,31042090-0,48166122.99999999,1,1446336000000000000
2015,11,31054000-0,13158585.000000017,1,1446336000000000000
2015,11,31055900-0,0.0,0,1446336000000000000
2015,11,31059090-0,7136542.000000047,1,1446336000000000000
2016,5,31021010-0,0.0,0,1462060800000000000
2016,5,31022100-0,14162330.000000002,1,1462060800000000000
2016,5,31042090-0,223277775.9999999,1,1462060800000000000
2016,5,31054000-0,96535985.00000007,1,1462060800000000000
2016,5,31055900-0,14199434.000000011,1,1462060800000000000
2016,5,31059090-0,6328375.000000048,1,1462060800000000000
2016,11,31021010-0,30804901.999999978,1,1477958400000000000
2016,11,31022100-0,6001866.000000003,1,1477958400000000000
2016,11,31042090-0,134037285.99999988,1,1477958400000000000
2016,11,31054000-0,62141990.000000015,1,1477958400000000000
2016,11,31055900-0,0.0,0,1477958400000000000
2016,11,31059090-0,2610993.0000000075,1,1477958400000000000
2017,5,31021010-0,35473107.99999997,1,1493596800000000000
2017,5,31022100-0,17047349.000000007,1,1493596800000000000
2017,5,31042090-0,253436133.99999985,1,1493596800000000000
2017,5,31054000-0,145077286.00000003,1,1493596800000000000
2017,5,31055900-0,38139169.000000015,1,1493596800000000000
2017,5,31059090-0,9255683.000000069,1,1493596800000000000
2017,11,31021010-0,26033250.0,1,1509494400000000000
2017,11,31022100-0,8151319.999999999,1,1509494400000000000
2017,11,31042090-0,125573371.99999996,1,1509494400000000000
2017,11,31054000-0,37604666.00000006,1,1509494400000000000
2017,11,31055900-0,0.0,0,1509494400000000000
2017,11,31059090-0,5163434.000000071,1,1509494400000000000
2018,5,31021010-0,43525901.000000015,1,1525132800000000000
2018,5,31022100-0,25348123.000000037,1,1525132800000000000
2018,5,31042090-0,316970768.9999997,1,1525132800000000000
2018,5,31054000-0,116325893.0000001,1,1525132800000000000
2018,5,31055900-0,44740434.000000015,1,1525132800000000000
2018,5,31059090-0,8029273.000000021,1,1525132800000000000
2018,11,31021010-0,86915793.99999994,1,1541030400000000000
2018,11,31022100-0,14655526.000000011,1,1541030400000000000
2018,11,31042090-0,203369078.99999985,1,1541030400000000000
2018,11,31054000-0,66220795.000000015,1,1541030400000000000
2018,11,31055900-0,16221947.000000022,1,1541030400000000000
2018,11,31059090-0,8670108.000000022,1,1541030400000000000
2019,5,31021010-0,70489947.0,1,1556668800000000000
2019,5,31022100-0,55632319.000000045,1,1556668800000000000
2019,5,31042090-0,199577757.99999985,1,1556668800000000000
2019,5,31054000-0,118080031.00000004,1,1556668800000000000
2019,5,31055900-0,38368571.00000002,1,1556668800000000000
2019,5,31059090-0,8466225.000000022,1,1556668800000000000
2019,11,31021010-0,104350699.99999996,1,1572566400000000000
2019,11,31022100-0,43666752.00000001,1,1572566400000000000
2019,11,31042090-0,160048670.99999985,1,1572566400000000000
2019,11,31054000-0,77303179.00000001,1,1572566400000000000
2019,11,31055900-0,28440084.000000007,1,1572566400000000000
2019,11,31059090-0,3048100.0000000186,1,1572566400000000000
2020,5,31021010-0,116534752.00000004,1,1588291200000000000
2020,5,31022100-0,57288984.000000015,1,1588291200000000000
2020,5,31042090-0,194286329.99999988,1,1588291200000000000
2020,5,31054000-0,114715005.00000004,1,1588291200000000000
2020,5,31055900-0,68928786.00000003,1,1588291200000000000
2020,5,31059090-0,10064369.000000045,1,1588291200000000000
2020,11,31021010-0,104513569.99999996,1,1604188800000000000
2020,11,31022100-0,61524397.000000015,1,1604188800000000000
2020,11,31042090-0,145264959.99999988,1,1604188800000000000
2020,11,31054000-0,74121119.99999997,1,1604188800000000000
2020,11,31055900-0,13433319.000000017,1,1604188800000000000
2020,11,31059090-0,3000100.0000000065,1,1604188800000000000
2021,5,31021010-0,97048670.0000001,1,1619827200000000000
2021,5,31022100-0,48779971.00000008,1,1619827200000000000
2021,5,31042090-0,177506009.9999999,1,1619827200000000000
2021,5,31054000-0,106533531.00000004,1,1619827200000000000
2021,5,31055900-0,44748313.000000045,1,1619827200000000000
2021,5,31059090-0,10069870.000000063,1,1619827200000000000
2021,11,31021010-0,25339843.000000007,1,1635724800000000000
2021,11,31022100-0,33899999.999999985,1,1635724800000000000
2021,11,31042090-0,222603396.99999985,1,1635724800000000000
2021,11,31054000-0,61409547.00000001,1,1635724800000000000
2021,11,31055900-0,15440506.000000011,1,1635724800000000000
2021,11,31059090-0,4110400.000000039,1,1635724800000000000
2022,5,31021010-0,114804519.99999996,1,1651363200000000000
2022,5,31022100-0,138601399.9999999,1,1651363200000000000
2022,5,31042090-0,374194097.99999976,1,1651363200000000000
2022,5,31054000-0,155396630.99999994,1,1651363200000000000
2022,5,31055900-0,48861025.99999999,1,1651363200000000000
2022,5,31059090-0,13532460.000000086,1,1651363200000000000
