ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO
2002,11,31022100,249,517602,7299731,484218,95204,689
2002,11,31042090,383,517602,9128190,1143565,115994,1659
2002,11,31042090,386,517602,9214400,1128764,119395,1463
2002,11,31059090,232,517600,100800,34145,2840,68
2002,12,31054000,249,517602,9687774,1538319,196823,3688
2002,12,31059090,232,517600,201600,68061,5918,135
2002,12,31059090,245,517600,3150,1567,169,0
2003,2,31042090,383,517602,4027538,534588,48000,1081
2003,2,31055900,245,517600,12768,20991,400,0
2003,3,31021010,831,517602,27655804,3892554,219992,0
2003,3,31042090,149,517602,7079036,814341,84000,1599
2003,3,31054000,474,517602,11056474,1938336,173263,4904
2003,3,31059090,232,517600,100800,34503,2490,68
2003,3,31059090,245,517600,2100,1159,90,0
2003,3,31059090,271,517600,40000,21077,2022,42
2003,4,31022100,87,517602,6891696,443746,81600,916
2003,4,31042090,23,517602,5775460,657667,68400,1468
2003,4,31054000,474,517602,11395862,2173034,199031,4318
2003,4,31059090,232,517600,100800,34450,2544,68
2003,5,31042090,383,517602,8833527,1099550,105540,1543
2003,5,31042090,676,517602,6999261,841447,90941,1005
2003,5,31054000,474,517602,4523673,877222,71584,1173
2003,5,31059090,232,517600,252000,86428,6135,169
2003,6,31021010,831,517602,1701819,230817,17952,333
2003,6,31022100,831,517602,2000847,136370,35663,0
2003,6,31042090,383,517602,5071641,634774,60276,803
2003,6,31042090,676,517602,8300000,1095715,72400,2144
2003,6,31054000,249,517602,13538393,2788247,259854,6352
2003,6,31059090,232,517600,100800,35264,1765,68
2003,7,31021010,831,517602,3625175,455908,54000,1040
2003,7,31022100,23,517600,3500000,330900,51870,552
2003,7,31022100,87,517600,1000264,70679,12000,164
2003,7,31022100,249,517602,7890546,619272,95127,1409
2003,7,31022100,573,517600,4001058,296262,48000,607
2003,7,31022100,831,517602,5002119,365140,75000,1137
2003,7,31042090,23,517602,5002122,601935,60000,1328
2003,7,31042090,383,517602,26742878,3346907,325560,8433
2003,7,31054000,249,517602,19592943,3809230,388089,8945
2003,7,31054000,474,517602,18844818,4028185,328808,9788
2003,8,31021010,831,517602,1418071545,5604808,293995,0
2003,8,31042090,383,517602,2010000,250222,24120,551
2003,9,31021010,676,517602,9018255,1388404,135000,3132
2003,9,31021010,831,517602,6761719,1050397,73616,1683
2003,9,31022100,87,517600,2000529,144462,24000,339
2003,9,31022100,87,517602,6690410,551008,78000,1084
2003,9,31022100,249,517602,5803881,433260,69492,2087
2003,9,31042090,85,517602,6847800,893463,54780,1701
2003,9,31042090,383,517602,7000581,872664,84000,2688
2003,9,31042090,628,517602,38116086,4901457,455988,8458
2003,9,31042090,676,517600,9006614,968309,108000,2159
2003,9,31054000,249,517602,17796342,3334341,408646,8119
2003,9,31059090,383,517600,21000,5941,767,14
2003,10,31022100,85,517602,9789591,793291,88060,7138
2003,10,31022100,87,517602,3188338,264761,36000,502
2003,10,31042090,383,517602,11611437,1496548,140472,4240
2003,10,31054000,160,517600,24000,11433,1300,23
2003,10,31054000,249,517602,19968160,3770862,387180,6216
2003,10,31054000,676,517602,7068616,1394641,83885,3369
2003,10,31059090,275,517600,21000,4963,618,0
2003,11,31042090,149,517602,11650000,1255969,285425,3274
2003,11,31042090,676,517602,6001268,618857,117000,1477
2003,11,31054000,249,517602,4202371,723997,102900,1727
2003,11,31054000,474,517602,13457194,2690879,235301,4033
2003,11,31055900,271,517600,88000,47732,3098,96
2003,11,31055900,676,517602,1048640,178259,10000,324
2003,11,31059090,245,517600,11550,7576,412,0
2003,12,31021010,676,517602,16570331,2695291,330000,5194
2003,12,31021010,831,517602,31632908,5377595,286143,0
2003,12,31042090,383,517602,1551087,194814,18600,429
2003,12,31042090,628,517602,17457572,2239531,209400,4046
2003,12,31059090,245,517600,26600,29450,933,0
2004,1,31021010,676,517602,29951585,4622604,1065651,0
2004,1,31022100,87,517602,5027872,439255,62826,812
2004,1,31042090,23,517602,3417996,431471,40800,957
2004,1,31042090,85,517602,6501106,803136,65000,1555
2004,1,31042090,676,517602,7010307,685187,182000,1738
2004,1,31054000,249,517602,10721702,2283353,389588,5795
2004,1,31054000,383,517600,8400,3896,266,9
2004,1,31059090,232,517600,447360,149450,9507,291
2004,1,31059090,383,517600,33600,10620,1256,24
2004,2,31042090,383,517602,8293555,1150337,96000,2414
2004,3,31021010,85,517602,28745891,4477173,900760,0
2004,3,31022100,87,517602,4000000,398386,60000,821
2004,3,31042090,149,517602,5059772,596740,205000,1356
2004,3,31042090,383,517602,10765364,1170263,347880,2203
2004,3,31054000,383,517600,10500,4803,387,11
2004,3,31054000,676,517602,13343170,3012287,467011,7459
2004,3,31059090,232,517600,1200000,422195,26337,777
2004,3,31059090,383,517600,21000,6247,774,14
2004,4,31042090,383,517602,11540000,1486909,346200,3492
2004,4,31054000,249,517602,3108880,749421,113327,1774
2004,4,31054000,474,517602,10364410,2488657,381642,5125
2004,5,31022100,676,517602,8600000,885193,309600,2039
2004,5,31042090,383,517602,6521600,880327,194790,2579
2004,5,31054000,249,517602,3038207,692181,121877,0
2004,5,31054000,383,517600,10500,4805,385,0
2004,5,31054000,676,517602,13930228,3269283,473450,8725
2004,6,31022100,87,517602,14008411,1587362,358748,2680
2004,6,31042090,383,517602,7132961,986868,208154,1855
2004,6,31054000,474,517602,998625,234498,35000,509
2004,6,31054000,676,517602,10576070,2424766,272933,7006
2004,7,31042090,383,517602,4007000,666500,104182,1325
2004,7,31042090,628,517602,28961685,4339743,857400,8891
2004,7,31054000,249,517602,8803854,2047380,184800,5411
2004,7,31054000,474,517602,8845078,2047479,269600,3053
2004,7,31054000,676,517602,3983314,941678,87366,1932
2004,7,31055900,676,517602,4779496,886223,103950,1720
2004,8,31021010,676,517602,25196159,4473371,680286,0
2004,8,31042090,23,517602,6851400,1098531,134260,2787
2004,8,31042090,245,517602,19505000,3306738,419358,6194
2004,8,31042090,383,517602,4585360,803177,102246,1561
2004,8,31042090,628,517602,4907678,808740,145290,2841
2004,8,31054000,249,517602,42712481,9618918,999399,19482
2004,8,31054000,676,517602,5000157,1154891,110000,2271
2004,9,31021010,676,517600,469107,96570,22549,0
2004,9,31021010,831,517602,31529871,6779777,938737,0
2004,9,31022100,676,517600,5302210,464234,235869,415
2004,9,31042090,85,517602,36351657,6130018,919997,11350
2004,9,31042090,245,517602,21635465,3784069,556196,6646
2004,9,31042090,383,517602,7222309,1276328,172800,2148
2004,9,31042090,676,517602,2019536,356536,50000,0
2004,9,31054000,249,517602,25029746,5758223,643590,8264
2004,10,31042090,23,517600,4160044,741201,78400,1784
2004,10,31042090,383,517602,17629145,3080944,440725,5429
2004,10,31054000,249,517602,7098893,1596923,238756,4746
2004,10,31054000,474,517602,12063513,2907833,386760,4642
2004,11,31021010,831,517602,30322114,6536291,887793,0
2004,11,31042090,245,517602,500232,90178,14000,204
2004,11,31042090,383,517602,7831635,1423535,219184,3640
2004,11,31042090,628,517602,4001857,687247,112000,1129
2004,11,31054000,676,517602,4228939,1017088,92400,1451
2004,11,31059090,271,517600,1344000,342888,51922,696
2004,11,31059090,383,517600,42000,15424,1703,17
2004,12,31021010,85,517602,28608591,6618478,992081,0
2004,12,31042090,383,517602,5752670,1027766,161000,1746
2004,12,31059090,271,517600,672000,171408,26008,348
2005,1,31042090,383,517602,2883566,492455,86800,809
2005,1,31054000,676,517602,4502715,1139794,99060,1329
2005,2,31021010,676,517602,31605070,5878543,1152618,0
2005,2,31054000,249,517602,5651997,1320339,224095,3824
2005,4,31054000,249,517602,3150994,744725,122840,1252
2005,5,31022100,87,517602,4019593,483971,108000,1025
2005,5,31054000,474,517602,10178634,2624479,268851,4102
2005,5,31054000,676,517602,14954120,3696617,328810,7607
2005,6,31022100,87,517600,4031586,473040,108000,1000
2005,6,31042090,23,517600,511768,99119,13500,189
2005,6,31042090,149,517602,3801676,788862,76000,1639
2005,6,31054000,249,517602,16500000,3963893,536250,8127
2005,6,31054000,676,517602,1000173,253834,22000,532
2005,6,31059090,403,517600,199800,72368,18410,159
2005,7,31042090,383,517602,4007943,820298,114250,2751
2005,7,31054000,249,517602,11742210,2756711,403710,3057
2005,7,31054000,676,517602,4755959,1171882,104500,2303
2005,8,31042090,23,517600,63000,21136,1176,21
2005,8,31042090,23,517602,7040477,1382656,189000,2827
2005,8,31042090,149,517602,14806218,2988945,371225,5766
2005,8,31042090,383,517602,6300690,1278556,181125,2064
2005,8,31054000,249,517602,2000000,503972,65000,827
2005,8,31054000,676,517602,10783244,2751854,236990,4853
2005,8,31059090,158,517600,112000,45480,8820,0
2005,9,31021010,831,517602,11499142,2423444,240528,0
2005,9,31022100,87,517602,6001005,703689,162000,1499
2005,9,31042090,383,517602,9732772,1953812,233306,3713
2005,9,31042090,676,517602,8704315,1821955,190419,1714
2005,9,31054000,249,517602,19139188,4943905,516468,6987
2005,9,31054000,474,517602,18671223,5211415,467259,7100
2005,9,31054000,676,517602,10354214,2652455,227704,5451
2005,9,31059090,383,517600,73500,30224,2881,32
2005,9,31059090,403,517600,500000,152900,57510,378
2005,10,31042090,383,517602,9974000,2106558,209454,3274
2005,10,31054000,249,517602,3999124,1054349,88800,0
2005,10,31054000,474,517602,2004198,568280,61500,0
2005,10,31054000,676,517602,3745271,1013195,83740,516
2005,11,31021010,831,517602,20917240,4371703,585862,0
2005,11,31042090,23,517600,63000,20146,1115,21
2005,11,31042090,23,517602,25003917,4974108,516667,7746
2005,11,31042090,383,517602,19089283,3983176,428124,3199
2005,11,31054000,474,517602,11966660,3368025,262624,5186
2005,11,31054000,676,517600,60000,37198,3363,109
2005,11,31054000,676,517602,3598775,975203,79200,0
2005,12,31021010,249,517602,20018342,4219219,418371,0
2005,12,31021010,676,517602,5264121,1163157,172682,0
2005,12,31021010,831,517602,10118842,2117958,280295,0
