ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
2014,10,31054000-1,21274782.000000004,10789640,517760,2014-10-01,7.3278651186188055,7.03300695454188,5.714128495596159,0.16487482786539398,0.18152622712579475,0.10466334232650573
2014,12,31054000-1,13231228.000000015,6516404,479768,2014-12-01,7.121600153248302,6.814008001592841,5.681031277631641,0.10253611420539988,0.1096287422630978,0.0969825194158515
2015,6,31054000-1,37086888.99999999,16980437,873778,2015-06-01,7.569220404458319,7.229948862836464,5.941401105836032,0.28742095742879203,0.2856868055716212,0.17663931650541964
2015,8,31054000-1,19938994.000000007,10032050,347417,2015-08-01,7.299703242678231,7.00138968802711,5.540851065767829,0.15452227653765302,0.16877972411095293,0.07022518647607476
2015,9,31054000-1,20941745.000000037,9663699,563768,2015-09-01,7.321012867041766,6.9851433943032495,5.7511004212733825,0.16229374266584395,0.16258219361025994,0.11396475579443002
2015,10,31054000-1,15495784.000000011,7081901,402978,2015-10-01,7.190213554002879,6.850149851332819,5.605281337110331,0.12008675264843409,0.11914326755432919,0.08145792499310096
2016,7,31054000-1,39426040.999999985,14396939,708082,2016-07-01,7.595783169206698,7.158270164545151,5.850083554420546,0.30554972572390166,0.2422192769006543,0.14314064223178932
2016,8,31054000-1,27862543.000000007,9727847,423904,2016-08-01,7.445020751731392,6.988016731379907,5.627267514633169,0.21593093398956212,0.16366148805104727,0.08568852354617398
2017,1,31054000-1,60407489.999999955,21161278,1049753,2017-01-01,7.781090790674074,7.325541892644222,6.021087124445089,0.4681590078127357,0.35602973830710377,0.21221609087113819
2017,5,31054000-1,26741711.999999993,10092053,595581,2017-05-01,7.427189207277228,7.003979522617148,5.77494083460268,0.20724433068333134,0.16978927864625507,0.12039637348385525
2017,7,31054000-1,34753593.999999985,12902507,743751,2017-07-01,7.540999723276011,7.110674103359935,5.871427562661567,0.2693375817357468,0.21707535737495295,0.1503518254387836
2017,8,31054000-1,36478503.99999999,13575544,736856,2017-08-01,7.562037019407829,7.132757241683681,5.867382624201282,0.2827058851721707,0.2283992504432354,0.14895786686937526
2017,9,31054000-1,31333054.0,11096571,635916,2017-09-01,7.496002727173674,7.045188796277991,5.803399752211626,0.24282789912249458,0.18669036197029956,0.1285508794877834
2018,7,31054000-1,44065107.0,18126437,1239758,2018-07-01,7.6440948290241915,7.258312445942748,6.093336919419002,0.34150316210585613,0.30496833311951477,0.2506293030510407
2018,8,31054000-1,25478105.00000003,10490591,561453,2018-08-01,7.406167123088416,7.020799955382197,5.749313406732869,0.19745119260633676,0.1764947074646516,0.11349673344661562
2018,9,31054000-1,23148696.000000007,10238872,487233,2018-09-01,7.36452653159782,7.010252113753145,5.687736695126774,0.17939793397861886,0.17225951825625,0.09849171458925732
2018,11,31054000-1,26150725.000000007,11469293,545322,2018-11-01,7.417483733705577,7.059536647573272,5.736653018841911,0.20266409545773603,0.19296143484177078,0.11023553755348646
2019,1,31054000-1,33204127.999999985,14308334,856497,2019-01-01,7.521192079372004,7.155589069348328,5.9327258461273,0.25732899482256183,0.2407284917799029,0.17314562570948852
2019,6,31054000-1,32222298.0,12927687,648173,2019-06-01,7.508156509799246,7.111520828593072,5.811690936299349,0.24971966948791613,0.21749901257884124,0.131028870812691
2019,7,31054000-1,39301999.99999998,14975770,661552,2019-07-01,7.594414651313418,7.17538916148899,5.820563986732858,0.3045883899286674,0.25195814764417507,0.133733696294941
2019,9,31054000-1,25173500.0,9194369,403437,2019-09-01,7.4009436019215435,6.963521929417337,5.605775725703601,0.1950904595430162,0.15468568460148777,0.08155072078474106
2019,11,31054000-1,40962392.999999985,14402612,790530,2019-11-01,7.612385319948681,7.158441261145073,5.897918355719508,0.3174566772292884,0.24231472550953667,0.15980911157632555
2020,1,31054000-1,30491786.0,9376281,688064,2020-01-01,7.484182863106873,6.972030614343888,5.837628835843271,0.23630794973652466,0.15774636631116704,0.1390936135671895
2020,5,31054000-1,30273100.000000004,9671722,574032,2020-05-01,7.481056895484474,6.985503804850119,5.758936103262173,0.23461310142252698,0.16271718112816286,0.11603982334430776
2020,6,31054000-1,44666307.99999997,14187169,840146,2020-06-01,7.649980056311274,7.151895742156551,5.92435476401977,0.3461625573173634,0.23868988245587103,0.16983995253060594
2020,11,31054000-1,26296039.999999993,8406220,436264,2020-11-01,7.419890351697467,6.924600751781214,5.639749376987725,0.2037903078478687,0.1414250243437698,0.0881873383275934
2020,12,31054000-1,25162959.999999985,8558651,462060,2020-12-01,7.400761727236428,6.932405317314414,5.664698373774749,0.19500877300967817,0.14398968623351935,0.09340250225166259
2021,1,31054000-1,22662119.99999999,7759090,423823,2021-01-01,7.355300534884624,6.889810789408578,5.627184521280023,0.17562689919252475,0.1305370183035705,0.08567214781823751
2021,3,31054000-1,34419669.99999998,11244408,570762,2021-03-01,7.5368067021953165,7.050936595467411,5.756455051093499,0.2667496221571575,0.18917772949918085,0.11537872914242739
2021,4,31054000-1,18480294.000000007,7085495,421759,2021-04-01,7.266708876059523,6.8503701959044605,5.625064358857211,0.14321713932892247,0.11920373684752913,0.08525487001007814
2021,7,31054000-1,18534049.999999996,9833228,458688,2021-07-01,7.2679703302991445,6.992696109129981,5.661517378453428,0.1436337561492367,0.1654345305070024,0.09272078676275108
2021,8,31054000-1,27451709.999999996,16957142,725994,2021-08-01,7.438569402353815,7.229352656987791,5.8609330314746675,0.21274691847240676,0.28529486562028766,0.1467619019700405
2021,9,31054000-1,16144000.000000011,10069268,493985,2021-09-01,7.208011148892836,7.002997900035673,5.693713761644024,0.12511052094958888,0.16940591947943243,0.09985676292292592
2021,10,31054000-1,20644261.000000004,9487690,519662,2021-10-01,7.3147993411043295,6.977160486149948,5.715720960437078,0.15998819838847206,0.15962083027502677,0.10504786867879211
2021,11,31054000-1,26993016.999999993,15982917,1141017,2021-11-01,7.431251428210654,7.2036560441515105,6.057292115015228,0.2091919809926753,0.2689034640711196,0.23066688635750235
