ANO,MES,k1,k2,k3,k4,k5,k6
2018,1,8151319.999999999,64937771.99999997,0.0,0.0,0.0,2525018.0000000186
2018,2,0.0,32181898.0,0.0,0.0,0.0,0.0
2018,5,0.0,26132002.000000007,0.0,0.0,0.0,4574343.000000051
2018,7,3283305.0000000065,0.0,0.0,0.0,14423880.99999999,0.0
2018,8,10898417.000000007,94528085.9999999,44065107.0,0.0,0.0,3024100.0000000177
2018,9,1500511.0000000093,74571973.99999996,25478105.00000003,0.0,3792479.000000017,0.0
2018,10,8240183.999999999,118035656.99999984,23148696.000000007,0.0,15152384.000000002,5005173.000000004
2018,11,1425706.0000000093,21345601.000000004,0.0,0.0,11371690.000000006,0.0
2018,12,2665818.0000000075,116173949.99999988,26150725.000000007,64606675.99999993,8891552.000000022,0.0
2019,1,6989706.000000001,35844048.999999985,0.0,20309117.999999996,7330395.000000001,0.0
2019,2,5000002.000000004,51351079.99999998,33204127.999999985,0.0,0.0,8670108.000000022
2019,3,0.0,31533718.999999985,0.0,0.0,0.0,0.0
2019,4,12002926.999999993,36167013.99999996,0.0,0.0,0.0,0.0
2019,5,8960581.00000001,22929999.99999999,0.0,0.0,0.0,0.0
2019,6,9423820.00000002,32645087.99999997,0.0,0.0,0.0,5069225.000000015
2019,7,7450000.000000011,0.0,32222298.0,0.0,17578570.999999996,0.0
2019,8,8508124.00000001,34354999.99999997,39301999.99999998,0.0,12790000.000000017,0.0
2019,9,0.0,53027319.99999996,0.0,0.0,5000000.000000004,3397000.0000000065
2019,10,0.0,27599999.99999998,25173500.0,0.0,0.0,0.0
2019,11,7450000.000000011,38300349.99999997,0.0,23767000.0,3000000.0000000065,0.0
2019,12,0.0,102762670.99999988,40962392.99999999,30233000.0,16628099.0,0.0
2020,1,2650000.0000000075,42665999.99999996,0.0,42421699.99999998,11811985.000000006,3048100.0000000186
2020,2,13799999.999999993,0.0,30491786.0,31695999.999999985,0.0,0.0
2020,3,8200380.000000011,24199999.99999999,0.0,0.0,0.0,0.0
2020,4,4000000.0000000056,0.0,0.0,0.0,0.0,2315728.000000032
2020,5,6400000.000000013,0.0,0.0,0.0,0.0,0.0
2020,6,0.0,0.0,30273100.000000004,0.0,11781500.00000002,0.0
2020,7,11724999.999999994,59786999.99999996,44666307.99999997,20257999.999999996,4452950.000000028,0.0
2020,8,8075470.00000001,31279999.999999978,0.0,0.0,5719328.000000015,4032100.0000000177
2020,9,8112844.00000001,21776189.999999996,0.0,29774599.999999996,12499999.999999993,0.0
2020,10,7903660.0,52045139.99999996,0.0,0.0,23905693.999999978,3832269.0000000056
2020,11,0.0,21792999.999999996,0.0,23430165.00000001,10569313.999999996,0.0
2020,12,16642390.00000001,104027959.99999988,26296039.999999996,64838999.99999996,0.0,0.0
2021,1,12600000.000000004,0.0,25162959.999999985,0.0,2769800.00000002,0.0
2021,2,0.0,25743999.999999985,22662119.99999999,26627539.999999996,10663518.999999996,3000100.0000000065
2021,3,0.0,30459079.99999999,0.0,0.0,0.0,0.0
2021,4,0.0,62534549.99999996,34419669.99999998,41754049.99999997,0.0,3026700.000000029
2021,5,17962836.999999996,0.0,18480294.000000007,23962081.0,0.0,0.0
2021,6,8408482.000000011,17530559.999999996,0.0,31350702.000000037,4113360.0000000177,3179470.0000000177
2021,7,2864410.0000000075,18017229.999999985,0.0,17871720.000000022,8000000.0,3010400.0000000168
2021,8,10915031.00000002,30726999.99999999,18534050.0,0.0,4070505.000000027,0.0
2021,9,7900263.000000011,37766999.99999999,27451710.0,0.0,8799999.999999998,0.0
2021,10,13441785.000000017,43083529.99999996,16144000.000000011,0.0,7500000.0,3880000.000000028
