ANO,MES,KG_s,FOB_s,KG_k,FOB_k
2020,7,284677637.75,98348119.0,34385278.41666664,10438109.583333334
2020,8,309345496.75,106700010.5,34129028.41666665,10069159.0
2020,9,304890464.75,105440111.0,31524767.583333313,9007434.25
2020,10,294995653.3333333,102332441.75,33561862.58333331,9143292.416666666
2020,11,299222034.75,104841557.5,32186250.083333313,8468902.75
2020,12,308751778.8333333,108852580.75,32291690.833333313,7658430.666666667
2021,1,313398492.5833333,110469873.16666667,30027274.166666653,6805573.416666667
2021,3,340190043.45454544,119915809.54545455,31996942.72727271,7059297.454545454
2021,4,335249977.27272725,119500755.45454545,37254629.09090907,8162217.636363637
2021,5,339882328.54545456,124714018.45454545,38284272.727272704,8387810.363636363
2021,6,355111489.54545456,134069085.9090909,39186596.363636345,8562307.363636363
2021,7,369770502.8181818,146516750.36363637,35389344.545454524,7713392.363636363
2021,8,365801913.1818182,150375069.45454547,35339071.8181818,7781191.636363637
2021,9,378567687.45454544,162391013.9090909,36792781.8181818,8330985.181818182
2021,10,394282270.3636364,176764385.54545453,35978089.99999998,8730434.727272727
2021,11,372139527.90909094,172945924.72727272,36758789.09090907,9099903.272727273
2021,12,354087286.45454544,168947755.0909091,36102039.99999998,9758906.545454545
2022,1,362733102.27272725,174180531.54545453,39379211.545454524,11650244.181818182
2022,2,344278238.0,165166718.0,42285759.74999998,14089722.166666666
2022,3,348998494.6666667,167666112.66666666,42090558.833333306,14686682.0
2022,4,369409338.9166667,180383416.66666666,41666671.41666664,15643548.666666666
2022,5,361981613.5,182897524.33333334,44825491.916666634,17970556.666666668
2022,6,365412638.9166667,194043758.83333334,50765559.91666663,22347356.333333332
2022,7,353112187.5833333,192981109.66666666,55933560.74999996,25372944.833333332
2022,8,349908094.0833333,198359272.66666666,60387471.41666662,29678461.75
2022,9,347129715.9166667,203774280.66666666,61497143.08333328,31953381.416666668
2022,10,353803980.8333333,212885458.66666666,61478856.91666662,33395827.916666668
2022,11,354546874.0,215912691.0,61216165.91666663,34883689.916666664
2022,12,367036892.0,224807062.0,56758378.91666663,34612132.583333336
2023,1,376738185.5,232503795.75,54102620.99999997,33641390.25
2023,2,370862228.0,230570591.25,51900458.41666663,33859401.083333336
2023,3,371389197.5,231164714.91666666,50728357.58333329,33272027.833333332
2023,4,368440342.75,229322327.58333334,46357699.166666634,31388639.25
2023,5,362849753.6666667,224040228.25,46333640.99999997,31536249.0
2023,6,354467437.9166667,214721313.08333334,43508249.33333331,29128637.916666668
2023,7,359615970.0,213480606.91666666,41741765.24999998,27361048.583333332
2023,8,359907119.0833333,208033670.75,42346189.583333306,26371181.583333332
2023,9,354222104.25,198453150.25,41233834.16666664,24649264.833333332
2023,10,341259258.9166667,185586503.41666666,43809742.833333306,24176593.0
2023,11,345486202.0833333,185746108.33333334,44660490.166666634,22822190.0
