ANO,MES,NCM,KG,31022100-0,31021010-0,31042090-0,31054000-0,31059090-1,31055900-2,grupo_mes
2021,9,31022100-0,18691785.000000022,21342048.00000003,19256000.000000022,80850529.99999996,43595710.000000015,3880000.000000028,16299999.999999998,2
2021,9,31042090-0,43083529.99999996,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
2021,9,31042090-0,73464219.99999994,21342048.00000003,19256000.000000022,80850529.99999996,43595710.000000015,3880000.000000028,16299999.999999998,2
2021,9,31054000-0,16144000.000000011,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
2021,9,31054000-0,36788261.000000015,21342048.00000003,19256000.000000022,80850529.99999996,43595710.000000015,3880000.000000028,16299999.999999998,2
2021,9,31055900-2,7500000.0,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
2021,9,31055900-2,19764448.000000004,21342048.00000003,19256000.000000022,80850529.99999996,43595710.000000015,3880000.000000028,16299999.999999998,2
2021,9,31059090-1,3880000.000000028,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
2021,9,31059090-1,3880000.000000028,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,2
2021,10,31021010-0,16633248.00000002,13441785.000000017,8000000.0,43083529.99999996,16144000.000000011,3880000.000000028,7500000.0,1
2021,10,31022100-0,5250000.000000004,13441785.000000017,8000000.0,43083529.99999996,16144000.000000011,3880000.000000028,7500000.0,1
2021,10,31042090-0,30380689.999999978,13441785.000000017,8000000.0,43083529.99999996,16144000.000000011,3880000.000000028,7500000.0,1
2021,10,31054000-0,20644261.000000004,13441785.000000017,8000000.0,43083529.99999996,16144000.000000011,3880000.000000028,7500000.0,1
2021,10,31055900-2,12264448.000000004,13441785.000000017,8000000.0,43083529.99999996,16144000.000000011,3880000.000000028,7500000.0,1
2021,11,31021010-0,6335000.000000013,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,2
2021,11,31021010-0,25339843.000000015,17999999.999999985,6335000.000000013,148345606.99999988,54618937.0,4110400.000000039,8831506.00000001,3
2021,11,31022100-0,17999999.999999985,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,2
2021,11,31022100-0,33899999.999999985,17999999.999999985,6335000.000000013,148345606.99999988,54618937.0,4110400.000000039,8831506.00000001,3
2021,11,31042090-0,96803719.9999999,5250000.000000004,16633248.00000002,30380689.999999978,20644261.000000004,0.0,12264448.000000004,1
2021,11,31042090-0,148345606.99999988,5250000.000000004,16633248.00000002,127184409.99999988,47637278.0,0.0,21095954.000000015,2
