ANO,MES,NCM,KG,FOB,FRETE
2003,9,31042090-0,60971080.99999996,7635893,702768
2003,10,31042090-0,11611436.999999994,1496548,140472
2003,11,31042090-0,17651267.999999996,1874826,402425
2003,12,31042090-0,19008658.999999993,2434345,228000
2004,1,31042090-0,16929409.000000007,1919794,287800
2004,2,31042090-0,8293554.999999999,1150337,96000
2004,3,31042090-0,15825136.0,1767003,552880
2004,4,31042090-0,11539999.999999994,1486909,346200
2004,5,31042090-0,6521600.000000002,880327,194790
2004,6,31042090-0,7132961.000000001,986868,208154
2004,7,31042090-0,32968684.999999978,5006243,961582
2004,8,31042090-0,35849437.99999999,6017186,801154
2004,9,31042090-0,67228966.99999996,11546951,1698993
2004,10,31042090-0,21789188.999999993,3822145,519125
2004,11,31042090-0,12333724.000000015,2200960,345184
2004,12,31042090-0,5752670.000000003,1027766,161000
2005,1,31042090-0,2883566.0000000075,492455,86800
2005,6,31042090-0,4313444.000000017,887981,89500
2005,7,31042090-0,4007943.0000000056,820298,114250
2005,8,31042090-0,28210385.000000004,5671293,742526
2005,9,31042090-0,18437086.999999993,3775767,423725
2005,10,31042090-0,9973999.999999996,2106558,209454
2005,11,31042090-0,44156199.99999997,8977430,945906
2005,12,31042090-0,8993304.999999998,1869136,196702
2006,1,31042090-0,3717480.000000006,724884,99900
2006,3,31042090-0,8749936.000000034,1595690,166350
2006,4,31042090-0,11618538.000000041,2148383,219642
2006,5,31042090-0,7004215.000000001,1281124,126000
2006,6,31042090-0,7233771.000000001,1286873,157916
2006,7,31042090-0,3850000.0000000056,734881,69300
2006,8,31042090-0,33144125.999999974,5864425,764686
2006,9,31042090-0,7251271.000000011,1252023,195832
2006,10,31042090-0,36775548.999999985,6679246,1035192
2006,11,31042090-0,6092341.000000002,1101910,108000
2007,1,31042090-0,8155583.999999999,1386788,249408
2007,3,31042090-0,7323725.000000024,1334107,207739
2007,4,31042090-0,6038408.000000003,1268707,170700
2007,5,31042090-0,14283000.0,3084196,577020
2007,6,31042090-0,23883728.0,5425314,462000
2007,7,31042090-0,5900024.000000003,1196156,283200
2007,8,31042090-0,37860615.999999985,9334210,913228
2007,9,31042090-0,20546594.999999993,5431951,590841
2007,10,31042090-0,21802567.0,5967920,879710
2007,11,31042090-0,21195622.999999993,5723958,664591
2007,12,31042090-0,31650854.999999978,8781245,1438176
2008,1,31042090-0,26951858.99999998,8821933,487498
2008,4,31042090-0,10772050.999999996,4888195,481542
2008,5,31042090-0,47569100.99999997,23399414,1606683
2008,6,31042090-0,10002174.999999996,5827269,600000
2008,7,31042090-0,21260625.999999993,13953611,1396393
2008,8,31042090-0,37432729.99999996,27564286,1798056
2008,9,31042090-0,23530898.999999978,19998482,1357728
2008,10,31042090-0,36277697.99999997,33295712,1781619
2009,4,31042090-0,5043680.000000004,3722465,90000
2009,6,31042090-0,32499429.99999999,24169600,939398
2009,8,31042090-0,38017476.999999985,22328733,1064058
2009,9,31042090-0,25277678.99999999,13850580,608670
2009,10,31042090-0,7003360.000000001,3317894,175000
2009,11,31042090-0,7048000.000000013,3767054,126875
2010,1,31042090-0,12190943.000000004,4999449,381000
2010,3,31042090-0,7107759.000000001,3149667,196000
2010,4,31042090-0,9177003.00000001,3647181,257000
2010,5,31042090-0,10037139.999999996,3540686,312500
2010,6,31042090-0,31439168.999999985,11614684,803850
2010,7,31042090-0,25807190.99999997,8768236,1034643
2010,8,31042090-0,10331245.999999996,3391247,401700
2010,9,31042090-0,38739441.99999998,13100733,1233300
2010,10,31042090-0,29551635.999999978,9769050,972492
2010,11,31042090-0,43812853.99999999,15351198,1246923
2010,12,31042090-0,8045171.00000001,2820951,214000
2011,1,31042090-0,31454950.0,11574389,969069
2011,3,31042090-0,15331623.999999989,6136703,456502
2011,4,31042090-0,40124333.999999985,16600676,1276965
2011,5,31042090-0,56360926.99999994,24800811,1236313
2011,6,31042090-0,34991638.99999997,16367737,1033341
2011,7,31042090-0,43440662.99999996,20994850,1302313
2011,8,31042090-0,35783994.999999985,18555866,1145098
2011,9,31042090-0,54393784.999999955,28742469,1828060
2011,10,31042090-0,40116684.99999996,20289579,1238714
2011,12,31042090-0,8112689.999999999,4265891,216000
2012,4,31042090-0,34427670.999999985,16399367,1277848
2012,5,31042090-0,34676316.99999999,17036673,1076945
2012,6,31042090-0,107355040.99999988,52857713,2844074
2012,7,31042090-0,33751498.99999997,16889657,1005000
2012,10,31042090-0,34801951.99999999,17299403,1027248
2012,11,31042090-0,42870742.99999998,21427803,1199672
2012,12,31042090-0,30383406.000000004,14591319,920438
2013,2,31042090-0,3000000.0000000065,1332601,103500
2013,4,31042090-0,3900280.000000016,1611881,117285
2013,5,31042090-0,43912152.99999998,17705295,1356395
2013,6,31042090-0,32103506.999999978,13402008,874874
2013,7,31042090-0,59617738.99999997,25028330,1919922
2013,8,31042090-0,28221459.999999993,11491480,801249
2013,9,31042090-0,24054134.0,9202638,744551
2013,10,31042090-0,74763555.99999996,29833712,2014766
2013,11,31042090-0,38541579.99999998,14653566,994980
2013,12,31042090-0,21289646.999999993,7678806,526836
2014,1,31042090-0,17566538.999999996,6065077,507000
2014,2,31042090-0,25014764.99999999,7303923,782700
2014,3,31042090-0,21438722.0,6287781,666996
2014,4,31042090-0,10063370.000000007,2766882,335000
2014,5,31042090-0,48142411.99999998,14476868,1422055
2014,6,31042090-0,35038519.99999997,10658043,984958
2014,7,31042090-0,93164256.99999993,29028637,2547740
2014,8,31042090-0,60643270.999999955,20020760,1744958
2014,9,31042090-0,30910483.999999978,10295691,895875
2014,10,31042090-0,69132685.99999993,22992268,1906752
2014,11,31042090-0,62566202.99999994,21217625,1677095
2014,12,31042090-0,7737854.0,2611739,231630
2015,1,31042090-0,14295646.000000002,4681797,428750
2015,2,31042090-0,42669271.99999997,14324930,1173969
2015,3,31042090-0,10055111.999999996,3403462,275000
2015,4,31042090-0,18098491.999999996,6156826,491850
2015,5,31042090-0,23948297.99999999,7970500,626318
2015,6,31042090-0,30635270.999999966,9671686,915000
2015,7,31042090-0,17386979.999999996,5693295,398500
2015,8,31042090-0,62532981.99999995,19479752,1306188
2015,9,31042090-0,88807111.99999994,27869555,2194847
2015,10,31042090-0,40048830.99999998,12075960,1055599
2015,11,31042090-0,23936356.99999999,6812677,615108
2015,12,31042090-0,24229766.0,6680342,554627
2016,2,31042090-0,14008145.99999999,3584253,437330
2016,3,31042090-0,9417890.00000001,3015900,191952
2016,4,31042090-0,18066533.999999996,3814679,518320
2016,5,31042090-0,50783759.99999997,10643679,1147573
2016,6,31042090-0,7150088.000000001,1614368,128700
2016,7,31042090-0,73037347.99999994,15747415,1576401
2016,8,31042090-0,36810873.999999985,7846188,816611
2016,9,31042090-0,29602664.999999993,5979409,560410
2016,10,31042090-0,25893041.000000007,5434572,535734
2016,12,31042090-0,5006440.000000004,1117819,102350
2017,1,31042090-0,129030845.99999988,27785893,2873595
2017,2,31042090-0,12593650.000000015,2902594,353225
2017,3,31042090-0,23834647.00000001,5222295,429896
2017,4,31042090-0,24266409.999999985,5584424,557461
2017,5,31042090-0,24557326.999999985,5800415,521260
2017,6,31042090-0,26321707.999999985,6576741,525083
2017,7,31042090-0,33710560.999999985,8522620,635563
2017,8,31042090-0,74323942.99999994,18817948,1454594
2017,9,31042090-0,52329944.999999955,13731565,884096
2017,10,31042090-0,42192649.99999997,11544900,763524
2017,11,31042090-0,28453702.000000004,7549857,591020
2017,12,31042090-0,64937771.99999997,17172224,1312726
2018,1,31042090-0,32181898.0,8787952,601773
2018,2,31042090-0,12014475.999999993,3252458,307800
2018,3,31042090-0,5006521.000000004,1320802,105504
2018,4,31042090-0,26132002.000000007,6499095,526801
2018,5,31042090-0,5239451.000000015,1274200,155895
2018,6,31042090-0,3250000.0000000065,944885,82225
2018,7,31042090-0,94528085.9999999,26805611,2574231
2018,8,31042090-0,74571973.99999996,21758622,1748316
2018,9,31042090-0,118035656.99999985,35175911,2843444
2018,10,31042090-0,21345601.000000004,6616792,483735
2018,11,31042090-0,116173949.99999987,36887288,2843177
2018,12,31042090-0,35844048.999999985,11388661,910031
2019,1,31042090-0,51351079.99999998,16835143,1248030
2019,2,31042090-0,31533718.999999985,10168757,839450
2019,3,31042090-0,36167013.99999996,11716948,890542
2019,4,31042090-0,22929999.99999999,7797419,645232
2019,5,31042090-0,32645087.999999974,10843432,715190
2019,6,31042090-0,13649999.99999999,4698910,341250
2019,7,31042090-0,34354999.99999997,11451143,902600
2019,8,31042090-0,53027319.999999955,17372308,1341659
2019,9,31042090-0,27599999.99999998,9221520,721900
2019,10,31042090-0,38300349.99999997,12683859,963000
2019,11,31042090-0,102762670.99999988,32962551,2666636
2019,12,31042090-0,42665999.999999955,13676438,996150
2020,1,31042090-0,14620000.000000011,4413637,335355
2020,2,31042090-0,24199999.99999999,6587735,701260
2020,3,31042090-0,4700000.000000005,1198641,127605
2020,4,31042090-0,3000000.0000000065,808261,76590
2020,5,31042090-0,7605000.0,1705024,187768
2020,6,31042090-0,59786999.999999955,13176198,1575991
2020,7,31042090-0,31279999.999999978,7023736,489084
2020,8,31042090-0,21776189.999999993,4631611,333088
