ANO,MES,NCM,KG,FOB,FRETE
2013,6,31054000,7500700.0,4035022,225000
2013,6,31055900,2144000.0000000317,2436380,129145
2013,7,31042090,59617738.99999997,25028330,1919922
2013,7,31054000,28351123.99999997,15449204,453600
2013,7,31055900,200000.0000000112,227807,10940
2013,8,31021010,11220357.999999994,4043430,329450
2013,8,31022100,4907223.000000004,938425,181920
2013,8,31042090,28221459.999999993,11491480,801249
2013,8,31054000,32760039.999999974,16718990,835628
2013,8,31055900,596000.0000000224,602286,40577
2013,9,31021010,3402614.0000000065,1201920,112200
2013,9,31042090,23854133.99999999,9121270,734310
2013,9,31054000,18106141.999999996,8422341,549945
2013,9,31055900,18925414.00000002,7904575,501559
2013,10,31022100,20318351.999999993,3272080,613275
2013,10,31042090,74463555.99999994,29710089,2001141
2013,10,31054000,26330069.99999997,13138931,575207
2013,10,31059090,4552100.000000005,4706526,109250
2013,11,31021010,9360224.999999998,2964817,324825
2013,11,31022100,4066170.0000000056,463610,161170
2013,11,31042090,38541579.99999998,14653566,994980
2013,11,31054000,9939191.999999996,4492642,339900
2013,11,31055900,14250000.000000002,5244414,505876
2013,12,31042090,21289646.999999993,7678806,526836
2013,12,31054000,17181816.99999999,7318711,408003
2013,12,31059090,3001700.0000000065,3004103,81946
2014,1,31042090,17566538.999999996,6065077,507000
2014,1,31054000,19275597.999999993,7889014,557187
2014,1,31055900,340000.0000000112,335098,18502
2014,2,31021010,21318321.999999993,6843626,585010
2014,2,31022100,5000000.000000004,540271,225000
2014,2,31042090,25014764.99999999,7303923,782700
2014,2,31059090,4605340.000000005,4207551,143788
2014,3,31022100,3003957.0000000065,414603,104490
2014,3,31042090,20236600.999999993,5930718,630000
2014,4,31042090,10063370.000000007,2766882,335000
2014,4,31054000,4976018.000000004,2305072,133855
2014,5,31022100,5401065.000000004,801037,163472
2014,5,31042090,48142411.99999998,14476868,1422055
2014,5,31054000,26249999.99999997,13176060,388500
2014,5,31055900,27226583.999999985,12088864,726182
2014,6,31042090,35038519.99999997,10658043,984958
2014,6,31054000,20117514.999999993,9237242,379986
2014,6,31059090,2600000.0000000075,2387629,70590
2014,7,31022100,5132316.000000004,686764,187209
2014,7,31042090,93164256.99999993,29028637,2547740
2014,7,31054000,34951687.999999985,16079104,855410
2014,8,31021010,5264477.000000004,1697824,136500
2014,8,31022100,9303329.00000001,1167033,312350
