ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO,z_diff,z_score_KG,z_score_FOB
2021,3,31042090,85,517800,21178919.99999998,4134474,588063,1542,-0.0022467719956217325,1.571424124836661,0.44479141646312287
2021,3,31042090,149,517800,5006580.000000004,1163550,148100,431,0.2689090531465903,-0.2385479091075154,-0.3583483208597353
2021,3,31042090,676,517800,28839669.999999966,6427251,897790,1425,-0.3700628795888623,2.42879808921274,1.0646054263536118
2021,4,31042090,23,517800,11031079.999999996,2476076,249700,678,0.11226353275637864,0.43570062378857083,-0.0035288145817484458
2021,4,31042090,676,517800,3295000.0000000065,813705,122880,323,0.3071819396973716,-0.4301041052954617,-0.45292307989218283
2021,5,31042090,85,517800,7730560.0,1604910,279125,442,0.23919918487446173,0.06631382525023724,-0.23903400838832345
2021,5,31042090,676,517800,9799999.999999996,2019581,354239,558,0.19517336012951553,0.2979209103056735,-0.1269346217949919
2021,6,31042090,676,517800,18017229.999999985,3838133,814946,1437,-0.026138700298647843,1.2175748686374366,0.36468057118468655
2021,7,31042090,23,517800,14999999.999999989,3826142,340500,633,-0.12214794194209003,0.8798932517546979,0.3614390043892255
2021,7,31042090,149,517800,9927999.999999996,2627582,223380,673,0.03502095224800382,0.3122463833259572,0.03742830483390707
2021,7,31042090,676,517800,5799000.000000003,1315804,222830,881,0.2538161249244598,-0.1498620393361623,-0.3171889921235056
2021,8,31042090,23,517800,5000000.000000004,1449453,113500,369,0.19140350004408108,-0.23928432795496435,-0.28105921473658396
2021,8,31042090,85,517800,4550000.000000005,988798,169715,0,0.3011312888817475,-0.2896473190418991,-0.40558960854553405
2021,8,31042090,149,517800,27694999.99999997,8096654,970082,7084,-0.8590116795181902,2.3006891891961145,1.5159006755440962
2021,8,31042090,676,517800,522000.0000000112,144435,30082,226,0.3968909769803404,-0.740452048148951,-0.6338490584759734
2021,9,31042090,149,517800,13246999.999999993,6329498,619148,6499,-0.8565528412731638,0.6837014220315942,1.0381795336877202
2021,9,31042090,676,517800,29836529.999999966,8916265,1136033,2346,-1.0101349000393902,2.5403644254236775,1.7374688352300813
2021,10,31042090,149,517800,14798999.999999989,5041563,622810,4087,-0.45732856176363884,0.8573977824025337,0.6900077939902673
2021,10,31042090,676,517800,15581689.999999989,3613774,327350,813,-0.04560329115183143,0.9449946923888295,0.3040288586784026
2021,11,31042090,85,517800,25521499.999999974,4891531,1023225,1929,-0.06405673186819583,2.057435942246219,0.6494491458828021
2021,11,31042090,149,517800,39260519.999999955,16458304,2097305,13001,-2.7390002005599055,3.595076257364484,3.7763332495802135
2021,11,31042090,676,517800,32021699.999999966,9136087,1316875,6375,-0.9976796473895092,2.784923752609094,1.7968940454804228
2021,12,31042090,85,517800,5523310.000000004,1169088,142800,278,0.28440961405619236,-0.1807166460311779,-0.3568512149542008
2021,12,31042090,149,517800,30576999.999999966,18252437,1457030,14793,-3.509655716112209,2.623236167668439,4.261347173309757
2021,12,31042090,158,517800,8451799.999999998,2810879,337103,3353,-0.06308945686672374,0.14703338900921684,0.08697959070728112
2021,12,31042090,676,517800,6989777.000000001,2014461,308775,756,0.10411608681947804,-0.016592947252769052,-0.12831872837432312
2022,1,31042090,23,517800,30999999.999999966,15435359,719200,6139,-2.734191229492084,2.6705773792901577,3.49979713536264
2022,1,31042090,149,517800,13356999.999999993,7636651,826442,7254,-1.206301432094266,0.6960123754084006,1.391546539057358
2022,1,31042090,158,517800,15001199.999999989,7757784,730559,2511,-1.184962288597382,0.8800275530642631,1.4242928246577737
